,index,prog_name,min_heap,init_heap,max_heap,gc_name,entropy,complexity,dit,wmc,noc,cbo,rfc,lcom,ca,npm
0,0,bh,16,16,16,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.1,1.4444444444
1,1,bh,16,16,32,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.1,1.4444444444
2,2,bh,16,32,32,UseG1GC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.2,1.4444444444
3,3,bh,16,16,48,UseParallelGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.2,1.4444444444
4,4,bh,16,32,48,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.3,1.4444444444
5,5,bh,16,48,48,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.2,1.4444444444
6,6,bh,16,16,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.2,1.4444444444
7,7,bh,16,32,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.3,1.4444444444
8,8,bh,16,48,64,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.3,1.4444444444
9,9,bh,16,64,64,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.4,1.4444444444
10,10,bh,16,16,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.3,1.4444444444
11,11,bh,16,32,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.3,1.4444444444
12,12,bh,16,48,96,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.4,1.4444444444
13,13,bh,16,64,96,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.4,1.4444444444
14,14,bh,16,96,96,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.5,1.4444444444
15,15,bh,16,16,128,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.4,1.4444444444
16,16,bh,16,32,128,UseParNewGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.4,1.4444444444
17,17,bh,16,48,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.5,1.4444444444
18,18,bh,16,64,128,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.5,1.4444444444
19,19,bh,16,96,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.6,1.4444444444
20,20,bh,16,128,128,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.5,1.4444444444
21,21,bh,16,16,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.5,1.4444444444
22,22,bh,16,32,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.6,1.4444444444
23,23,bh,16,48,160,UseSerialGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.6,1.4444444444
24,24,bh,16,64,160,UseConcMarkSweepGC,3.5637039932,0.5873828589,8.1111111111,0.7777777778,0.2222222222,3.1111111111,21.3333333333,14.7777777778,3.11111111111.7,1.4444444444
