index    prog_name    min_heap    init_heap    max_heap    gc_name
0    bh    16.0    16.0    16.0    UseG1GC
1    bh    16.0    16.0    32.0    UseG1GC
2    bh    16.0    32.0    32.0    UseG1GC
3    bh    16.0    16.0    48.0    UseParallelGC
4    bh    16.0    32.0    48.0    UseParNewGC
5    bh    16.0    48.0    48.0    UseParNewGC
6    bh    16.0    16.0    64.0    UseConcMarkSweepGC
7    bh    16.0    32.0    64.0    UseConcMarkSweepGC
8    bh    16.0    48.0    64.0    UseSerialGC
9    bh    16.0    64.0    64.0    UseConcMarkSweepGC
10    bh    16.0    16.0    96.0    UseConcMarkSweepGC
11    bh    16.0    32.0    96.0    UseConcMarkSweepGC
12    bh    16.0    48.0    96.0    UseSerialGC
13    bh    16.0    64.0    96.0    UseConcMarkSweepGC
14    bh    16.0    96.0    96.0    UseSerialGC
15    bh    16.0    16.0    128.0    UseConcMarkSweepGC
16    bh    16.0    32.0    128.0    UseParNewGC
17    bh    16.0    48.0    128.0    UseSerialGC
18    bh    16.0    64.0    128.0    UseConcMarkSweepGC
19    bh    16.0    96.0    128.0    UseSerialGC
20    bh    16.0    128.0    128.0    UseSerialGC
21    bh    16.0    16.0    160.0    UseConcMarkSweepGC
22    bh    16.0    32.0    160.0    UseConcMarkSweepGC
23    bh    16.0    48.0    160.0    UseSerialGC
24    bh    16.0    64.0    160.0    UseConcMarkSweepGC
25    bh    16.0    96.0    160.0    UseSerialGC
26    bh    16.0    128.0    160.0    UseConcMarkSweepGC
27    bh    16.0    160.0    160.0    UseG1GC
28    bh    16.0    16.0    192.0    UseSerialGC
29    bh    16.0    32.0    192.0    UseSerialGC
30    bh    16.0    48.0    192.0    UseSerialGC
31    bh    16.0    64.0    192.0    UseConcMarkSweepGC
32    bh    16.0    96.0    192.0    UseParallelGC
33    bh    16.0    128.0    192.0    UseSerialGC
34    bh    16.0    160.0    192.0    UseSerialGC
35    bh    16.0    192.0    192.0    UseSerialGC
36    bh    16.0    16.0    224.0    UseConcMarkSweepGC
37    bh    16.0    32.0    224.0    UseParNewGC
38    bh    16.0    48.0    224.0    UseSerialGC
39    bh    16.0    64.0    224.0    UseConcMarkSweepGC
40    bh    16.0    96.0    224.0    UseSerialGC
41    bh    16.0    128.0    224.0    UseSerialGC
42    bh    16.0    160.0    224.0    UseSerialGC
43    bh    16.0    192.0    224.0    UseSerialGC
44    bh    16.0    224.0    224.0    UseConcMarkSweepGC
45    bh    16.0    16.0    256.0    UseSerialGC
46    bh    16.0    32.0    256.0    UseConcMarkSweepGC
47    bh    16.0    48.0    256.0    UseConcMarkSweepGC
48    bh    16.0    64.0    256.0    UseConcMarkSweepGC
49    bh    16.0    96.0    256.0    UseSerialGC
50    bh    16.0    128.0    256.0    UseSerialGC
51    bh    16.0    160.0    256.0    UseConcMarkSweepGC
52    bh    16.0    192.0    256.0    UseConcMarkSweepGC
53    bh    16.0    224.0    256.0    UseConcMarkSweepGC
54    bh    16.0    256.0    256.0    UseSerialGC
55    bh    16.0    16.0    512.0    UseSerialGC
56    bh    16.0    32.0    512.0    UseSerialGC
57    bh    16.0    48.0    512.0    UseSerialGC
58    bh    16.0    64.0    512.0    UseConcMarkSweepGC
59    bh    16.0    96.0    512.0    UseSerialGC
60    bh    16.0    128.0    512.0    UseSerialGC
61    bh    16.0    160.0    512.0    UseSerialGC
62    bh    16.0    192.0    512.0    UseSerialGC
63    bh    16.0    224.0    512.0    UseParNewGC
64    bh    16.0    256.0    512.0    UseSerialGC
65    bh    16.0    512.0    512.0    UseSerialGC
66    bh    32.0    16.0    16.0    UseG1GC
67    bh    32.0    16.0    32.0    UseG1GC
68    bh    32.0    32.0    32.0    UseG1GC
69    bh    32.0    16.0    48.0    UseConcMarkSweepGC
70    bh    32.0    32.0    48.0    UseG1GC
71    bh    32.0    48.0    48.0    UseG1GC
72    bh    32.0    16.0    64.0    UseConcMarkSweepGC
73    bh    32.0    32.0    64.0    UseConcMarkSweepGC
74    bh    32.0    48.0    64.0    UseConcMarkSweepGC
