benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
jolden	16	16	48	UseParallelGC	0.01
jolden	16	16	96	UseParallelGC	0.01
jolden	16	16	128	UseParallelGC	0.01
jolden	16	16	160	UseParallelGC	0.02
jolden	32	16	16	UseParallelGC	0.01
jolden	32	16	96	UseParallelGC	0.01
jolden	32	16	256	UseParallelGC	0.01
jolden	32	32	16	UseParallelGC	0.01
jolden	32	32	48	UseParallelGC	0.01
jolden	32	32	64	UseParallelGC	0.03
jolden	32	32	96	UseParallelGC	0.01
jolden	32	32	160	UseParallelGC	0.01
jolden	32	32	192	UseParallelGC	0.01
jolden	32	32	256	UseParallelGC	0.01
jolden	48	16	96	UseParallelGC	0.01
jolden	48	16	128	UseParallelGC	0.01
jolden	48	16	512	UseParallelGC	0.01
jolden	48	32	32	UseParallelGC	0.01
jolden	48	32	64	UseParallelGC	0.02
jolden	48	32	128	UseParallelGC	0.01
jolden	48	32	160	UseParallelGC	0.01
jolden	48	32	224	UseParallelGC	0.01
jolden	64	16	32	UseParallelGC	0.01
jolden	64	16	48	UseParallelGC	0.01
jolden	64	16	192	UseParallelGC	0.01
jolden	64	32	32	UseParallelGC	0.01
jolden	64	32	128	UseParallelGC	0.04
jolden	64	32	192	UseParallelGC	0.01
jolden	64	32	512	UseParallelGC	0.01
jolden	64	48	16	UseParallelGC	0.01
jolden	64	48	32	UseParallelGC	0.02
jolden	96	16	64	UseParallelGC	0.02
jolden	96	16	96	UseParallelGC	0.01
jolden	96	16	192	UseParallelGC	0.02
jolden	96	32	16	UseParallelGC	0.01
jolden	96	32	32	UseParallelGC	0.01
jolden	96	32	64	UseParallelGC	0.02
jolden	96	32	96	UseParallelGC	0.02
jolden	96	32	128	UseParallelGC	0.01
jolden	96	32	224	UseParallelGC	0.01
jolden	96	32	256	UseParallelGC	0.01
jolden	96	48	32	UseParallelGC	0.04
jolden	96	64	32	UseParallelGC	0.01
jolden	96	96	32	UseParallelGC	0.01
jolden	128	16	48	UseParallelGC	0.01
jolden	128	16	96	UseParallelGC	0.01
jolden	128	16	256	UseParallelGC	0.02
jolden	128	32	32	UseParallelGC	0.01
jolden	128	32	48	UseParallelGC	0.01
jolden	128	32	64	UseParallelGC	0.01
jolden	128	32	96	UseParallelGC	0.01
jolden	128	32	192	UseParallelGC	0.01
jolden	128	32	224	UseParallelGC	0.01
jolden	128	32	256	UseParallelGC	0.01
jolden	128	32	512	UseParallelGC	0.02
jolden	128	48	32	UseParallelGC	0.02
jolden	128	64	16	UseParallelGC	0.01
jolden	128	64	32	UseParallelGC	0.02
jolden	128	128	32	UseParallelGC	0.01
jolden	160	16	192	UseParallelGC	0.01
jolden	160	32	16	UseParallelGC	0.02
jolden	160	32	64	UseParallelGC	0.01
jolden	160	64	16	UseParallelGC	0.02
jolden	160	96	16	UseParallelGC	0.01
jolden	160	128	32	UseParallelGC	0.01
jolden	160	160	16	UseParallelGC	0.01
jolden	160	160	32	UseParallelGC	0.01
jolden	192	16	48	UseParallelGC	0.01
jolden	192	16	96	UseParallelGC	0.02
jolden	192	16	224	UseParallelGC	0.01
jolden	192	16	256	UseParallelGC	0.01
jolden	192	16	512	UseParallelGC	0.01
jolden	192	32	16	UseParallelGC	0.02
jolden	192	32	64	UseParallelGC	0.01
jolden	192	32	192	UseParallelGC	0.01
jolden	192	32	224	UseParallelGC	0.01
jolden	192	64	16	UseParallelGC	0.01
jolden	192	64	32	UseParallelGC	0.01
jolden	192	128	16	UseParallelGC	0.01
jolden	192	128	32	UseParallelGC	0.01
jolden	192	160	16	UseParallelGC	0.01
jolden	192	160	32	UseParallelGC	0.02
jolden	192	192	16	UseParallelGC	0.02
jolden	224	16	16	UseParallelGC	0.01
jolden	224	16	64	UseParallelGC	0.01
jolden	224	16	192	UseParallelGC	0.01
jolden	224	16	512	UseParallelGC	0.02
jolden	224	128	32	UseParallelGC	0.01
jolden	224	160	16	UseParallelGC	0.01
jolden	224	224	16	UseParallelGC	0.01
jolden	224	224	32	UseParallelGC	0.01
jolden	256	32	32	UseParallelGC	0.02
jolden	256	32	64	UseParallelGC	0.01
