benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
compiler	16	16	16	UseParallelGC	0.08
compiler	16	16	32	UseParallelGC	0.08
compiler	16	16	48	UseParallelGC	0.1
compiler	16	16	64	UseParallelGC	0.13
compiler	16	16	96	UseParallelGC	0.15
compiler	16	16	128	UseParallelGC	0.1
compiler	16	16	160	UseParallelGC	0.9
compiler	16	16	192	UseParallelGC	0.09
compiler	16	16	224	UseParallelGC	0.09
compiler	16	16	256	UseParallelGC	0.1
compiler	16	16	512	UseParallelGC	0.31
compiler	32	16	16	UseParallelGC	0.18
compiler	32	16	32	UseParallelGC	0.15
compiler	32	16	48	UseParallelGC	0.15
compiler	32	16	64	UseParallelGC	0.15
compiler	32	16	96	UseParallelGC	0.2
compiler	32	16	128	UseParallelGC	0.22
compiler	32	16	160	UseParallelGC	2.39
compiler	32	16	192	UseParallelGC	0.26
compiler	32	16	224	UseParallelGC	0.24
compiler	32	16	256	UseParallelGC	1.11
compiler	32	16	512	UseParallelGC	0.27
compiler	32	32	16	UseParallelGC	2.21
compiler	32	32	32	UseParallelGC	0.75
compiler	32	32	48	UseParallelGC	0.64
compiler	32	32	64	UseParallelGC	1.82
compiler	32	32	96	UseParallelGC	1.84
compiler	32	32	128	UseParallelGC	0.36
compiler	32	32	160	UseParallelGC	0.37
compiler	32	32	192	UseParallelGC	0.62
compiler	32	32	224	UseParallelGC	0.43
compiler	32	32	256	UseParallelGC	1.5
compiler	32	32	512	UseParallelGC	1.58
compiler	48	16	16	UseParallelGC	0.58
compiler	48	16	32	UseParallelGC	0.34
compiler	48	16	48	UseParallelGC	0.35
compiler	48	16	64	UseParallelGC	0.48
compiler	48	16	96	UseParallelGC	0.28
compiler	48	16	128	UseParallelGC	0.44
compiler	48	16	160	UseParallelGC	0.35
compiler	48	16	192	UseParallelGC	0.44
compiler	48	16	224	UseParallelGC	0.48
compiler	48	16	256	UseParallelGC	0.37
compiler	48	16	512	UseParallelGC	2.13
compiler	48	32	16	UseParallelGC	1.04
compiler	48	32	32	UseParallelGC	0.83
compiler	48	32	48	UseParallelGC	0.65
compiler	48	32	64	UseParallelGC	0.53
compiler	48	32	96	UseParallelGC	0.41
compiler	48	32	128	UseParallelGC	1.23
compiler	48	32	160	UseParallelGC	0.51
compiler	48	32	192	UseParallelGC	1.22
compiler	48	32	224	UseParallelGC	0.4
compiler	48	32	256	UseParallelGC	0.38
compiler	48	32	512	UseParallelGC	1.57
compiler	48	48	16	UseParallelGC	1.33
compiler	48	48	32	UseParallelGC	0.72
compiler	48	48	48	UseParallelGC	1.35
compiler	48	48	64	UseParallelGC	0.55
compiler	48	48	96	UseParallelGC	1.17
compiler	48	48	128	UseParallelGC	1.08
compiler	48	48	160	UseParallelGC	1.36
compiler	48	48	192	UseParallelGC	0.78
compiler	48	48	224	UseParallelGC	0.95
compiler	48	48	256	UseParallelGC	0.87
compiler	48	48	512	UseParallelGC	0.94
compiler	64	16	16	UseParallelGC	0.77
compiler	64	16	32	UseParallelGC	0.8
compiler	64	16	48	UseParallelGC	0.5
compiler	64	16	64	UseParallelGC	2.4
compiler	64	16	96	UseParallelGC	0.31
compiler	64	16	128	UseParallelGC	0.94
compiler	64	16	160	UseParallelGC	0.69
compiler	64	16	192	UseParallelGC	0.39
compiler	64	16	224	UseParallelGC	0.53
compiler	64	16	256	UseParallelGC	0.63
compiler	64	16	512	UseParallelGC	0.32
compiler	64	32	16	UseParallelGC	0.86
compiler	64	32	32	UseParallelGC	0.87
compiler	64	32	48	UseParallelGC	0.96
compiler	64	32	64	UseParallelGC	0.67
compiler	64	32	96	UseParallelGC	0.45
compiler	64	32	128	UseParallelGC	0.45
compiler	64	32	160	UseParallelGC	0.45
compiler	64	32	192	UseParallelGC	0.36
compiler	64	32	224	UseParallelGC	0.36
compiler	64	32	256	UseParallelGC	0.72
compiler	64	32	512	UseParallelGC	0.52
compiler	64	48	16	UseParallelGC	0.76
compiler	64	48	32	UseParallelGC	0.63
compiler	64	48	48	UseParallelGC	1.12
compiler	64	48	64	UseParallelGC	1.41
compiler	64	48	96	UseParallelGC	1.43
compiler	64	48	128	UseParallelGC	1.14
compiler	64	48	160	UseParallelGC	1.15
compiler	64	48	192	UseParallelGC	1.07
compiler	64	48	224	UseParallelGC	0.92
compiler	64	48	256	UseParallelGC	0.97
compiler	64	48	512	UseParallelGC	1.13
compiler	64	64	16	UseParallelGC	0.84
compiler	64	64	32	UseParallelGC	0.54
compiler	64	64	48	UseParallelGC	0.85
compiler	64	64	64	UseParallelGC	0.89
compiler	64	64	96	UseParallelGC	1.46
compiler	64	64	128	UseParallelGC	1.05
compiler	64	64	160	UseParallelGC	1.37
compiler	64	64	192	UseParallelGC	1.11
compiler	64	64	224	UseParallelGC	0.79
compiler	64	64	256	UseParallelGC	0.9
compiler	64	64	512	UseParallelGC	1.14
