benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
derby	16	16	16	UseParallelGC	0.16
derby	16	16	32	UseParallelGC	0.2
derby	16	16	48	UseParallelGC	0.15
derby	16	16	64	UseParallelGC	0.23
derby	16	16	96	UseParallelGC	0.32
derby	16	16	128	UseParallelGC	0.32
derby	16	16	160	UseParallelGC	0.4
derby	16	16	192	UseParallelGC	0.34
derby	16	16	224	UseParallelGC	2.48
derby	16	16	256	UseParallelGC	0.36
derby	16	16	512	UseParallelGC	0.43
derby	32	16	16	UseParallelGC	2.25
derby	32	16	32	UseParallelGC	0.54
derby	32	16	48	UseParallelGC	2.06
derby	32	16	64	UseParallelGC	0.48
derby	32	16	96	UseParallelGC	0.47
derby	32	16	128	UseParallelGC	0.48
derby	32	16	160	UseParallelGC	0.46
derby	32	16	192	UseParallelGC	0.4
derby	32	16	224	UseParallelGC	0.42
derby	32	16	256	UseParallelGC	0.39
derby	32	16	512	UseParallelGC	0.63
derby	32	32	16	UseParallelGC	1.47
derby	32	32	32	UseParallelGC	0.28
derby	32	32	48	UseParallelGC	0.3
derby	32	32	64	UseParallelGC	0.38
derby	32	32	96	UseParallelGC	0.33
derby	32	32	128	UseParallelGC	0.33
derby	32	32	160	UseParallelGC	0.4
derby	32	32	192	UseParallelGC	0.28
derby	32	32	224	UseParallelGC	0.43
derby	32	32	256	UseParallelGC	0.45
derby	32	32	512	UseParallelGC	0.36
derby	48	16	16	UseParallelGC	0.3
derby	48	16	32	UseParallelGC	0.79
derby	48	16	48	UseParallelGC	0.46
derby	48	16	64	UseParallelGC	0.49
derby	48	16	96	UseParallelGC	1.23
derby	48	16	128	UseParallelGC	0.52
derby	48	16	160	UseParallelGC	0.47
derby	48	16	192	UseParallelGC	0.45
derby	48	16	224	UseParallelGC	1.48
derby	48	16	256	UseParallelGC	0.54
derby	48	16	512	UseParallelGC	0.5
derby	48	32	16	UseParallelGC	0.5
derby	48	32	32	UseParallelGC	1.62
derby	48	32	48	UseParallelGC	0.63
derby	48	32	64	UseParallelGC	0.32
derby	48	32	96	UseParallelGC	0.35
derby	48	32	128	UseParallelGC	0.61
derby	48	32	160	UseParallelGC	0.63
derby	48	32	192	UseParallelGC	0.39
derby	48	32	224	UseParallelGC	0.48
derby	48	32	256	UseParallelGC	0.39
derby	48	32	512	UseParallelGC	0.97
derby	48	48	16	UseParallelGC	0.63
derby	48	48	32	UseParallelGC	0.45
derby	48	48	48	UseParallelGC	0.51
derby	48	48	64	UseParallelGC	0.48
derby	48	48	96	UseParallelGC	0.35
derby	48	48	128	UseParallelGC	0.51
derby	48	48	160	UseParallelGC	0.36
derby	48	48	192	UseParallelGC	0.34
derby	48	48	224	UseParallelGC	0.56
derby	48	48	256	UseParallelGC	0.32
derby	48	48	512	UseParallelGC	0.37
derby	64	16	16	UseParallelGC	0.41
derby	64	16	32	UseParallelGC	0.45
derby	64	16	48	UseParallelGC	0.31
derby	64	16	64	UseParallelGC	0.51
derby	64	16	96	UseParallelGC	0.54
derby	64	16	128	UseParallelGC	0.48
derby	64	16	160	UseParallelGC	0.42
derby	64	16	192	UseParallelGC	0.48
derby	64	16	224	UseParallelGC	0.46
derby	64	16	256	UseParallelGC	0.52
derby	64	16	512	UseParallelGC	0.4
derby	64	32	16	UseParallelGC	0.43
derby	64	32	32	UseParallelGC	0.37
derby	64	32	48	UseParallelGC	0.36
derby	64	32	64	UseParallelGC	1.11
derby	64	32	96	UseParallelGC	0.38
derby	64	32	128	UseParallelGC	0.39
derby	64	32	160	UseParallelGC	0.42
derby	64	32	192	UseParallelGC	0.34
derby	64	32	224	UseParallelGC	0.67
derby	64	32	256	UseParallelGC	0.34
derby	64	32	512	UseParallelGC	0.42
derby	64	48	16	UseParallelGC	0.45
derby	64	48	32	UseParallelGC	0.38
derby	64	48	48	UseParallelGC	0.58
derby	64	48	64	UseParallelGC	0.47
derby	64	48	96	UseParallelGC	0.57
derby	64	48	128	UseParallelGC	1.46
derby	64	48	160	UseParallelGC	0.51
derby	64	48	192	UseParallelGC	0.5
derby	64	48	224	UseParallelGC	1.12
derby	64	48	256	UseParallelGC	0.43
derby	64	48	512	UseParallelGC	0.39
derby	64	64	16	UseParallelGC	0.53
derby	64	64	32	UseParallelGC	0.42
derby	64	64	48	UseParallelGC	0.77
derby	64	64	64	UseParallelGC	0.49
derby	64	64	96	UseParallelGC	0.55
derby	64	64	128	UseParallelGC	0.56
derby	64	64	160	UseParallelGC	0.53
derby	64	64	192	UseParallelGC	0.44
derby	64	64	224	UseParallelGC	0.41
derby	64	64	256	UseParallelGC	0.45
derby	64	64	512	UseParallelGC	0.38
derby	96	16	16	UseParallelGC	0.77
derby	96	16	32	UseParallelGC	0.79
derby	96	16	48	UseParallelGC	0.5
derby	96	16	64	UseParallelGC	0.41
derby	96	16	96	UseParallelGC	0.55
derby	96	16	128	UseParallelGC	0.56
derby	96	16	160	UseParallelGC	0.54
derby	96	16	192	UseParallelGC	0.58
derby	96	16	224	UseParallelGC	0.56
derby	96	16	256	UseParallelGC	0.43
derby	96	16	512	UseParallelGC	0.52
