benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
helloworld	16	16	16	UseParallelGC	0.11
helloworld	16	16	32	UseParallelGC	0.12
helloworld	16	16	48	UseParallelGC	0.11
helloworld	16	16	64	UseParallelGC	0.11
helloworld	16	16	96	UseParallelGC	0.11
helloworld	16	16	128	UseParallelGC	0.11
helloworld	16	16	160	UseParallelGC	2.3
helloworld	16	16	192	UseParallelGC	2.4
helloworld	16	16	224	UseParallelGC	1.83
helloworld	16	16	256	UseParallelGC	1.68
helloworld	16	16	512	UseParallelGC	0.82
helloworld	32	16	16	UseParallelGC	1.38
helloworld	32	16	32	UseParallelGC	1.56
helloworld	32	16	48	UseParallelGC	1.03
helloworld	32	16	64	UseParallelGC	0.72
helloworld	32	16	96	UseParallelGC	2.31
helloworld	32	16	128	UseParallelGC	0.67
helloworld	32	16	160	UseParallelGC	0.31
helloworld	32	16	224	UseParallelGC	0.28
helloworld	32	16	256	UseParallelGC	0.54
helloworld	32	16	512	UseParallelGC	0.33
helloworld	32	32	16	UseParallelGC	1.17
helloworld	32	32	32	UseParallelGC	0.78
helloworld	32	32	48	UseParallelGC	0.58
helloworld	32	32	64	UseParallelGC	0.4
helloworld	32	32	96	UseParallelGC	1.08
helloworld	32	32	128	UseParallelGC	1.43
helloworld	32	32	160	UseParallelGC	1.0
helloworld	32	32	192	UseParallelGC	0.39
helloworld	32	32	224	UseParallelGC	0.36
helloworld	32	32	256	UseParallelGC	0.32
helloworld	32	32	512	UseParallelGC	0.39
helloworld	48	16	16	UseParallelGC	0.61
helloworld	48	16	32	UseParallelGC	0.42
helloworld	48	16	48	UseParallelGC	0.27
helloworld	48	16	64	UseParallelGC	0.26
helloworld	48	16	96	UseParallelGC	0.26
helloworld	48	16	128	UseParallelGC	0.28
helloworld	48	16	160	UseParallelGC	0.25
helloworld	48	16	192	UseParallelGC	0.29
helloworld	48	16	224	UseParallelGC	0.3
helloworld	48	16	256	UseParallelGC	0.32
helloworld	48	16	512	UseParallelGC	0.26
helloworld	48	32	16	UseParallelGC	0.77
helloworld	48	32	32	UseParallelGC	0.52
helloworld	48	32	48	UseParallelGC	0.44
helloworld	48	32	64	UseParallelGC	0.36
helloworld	48	32	96	UseParallelGC	0.42
helloworld	48	32	128	UseParallelGC	0.53
helloworld	48	32	160	UseParallelGC	0.51
helloworld	48	32	192	UseParallelGC	0.56
helloworld	48	32	224	UseParallelGC	0.37
helloworld	48	32	256	UseParallelGC	0.41
helloworld	48	32	512	UseParallelGC	0.65
helloworld	48	48	16	UseParallelGC	0.64
helloworld	48	48	32	UseParallelGC	0.52
helloworld	48	48	48	UseParallelGC	0.53
helloworld	48	48	64	UseParallelGC	0.4
helloworld	48	48	96	UseParallelGC	0.64
helloworld	48	48	128	UseParallelGC	0.38
helloworld	48	48	160	UseParallelGC	0.59
helloworld	48	48	192	UseParallelGC	0.5
helloworld	48	48	224	UseParallelGC	0.4
helloworld	48	48	256	UseParallelGC	0.53
helloworld	48	48	512	UseParallelGC	0.66
helloworld	64	16	16	UseParallelGC	0.81
helloworld	64	16	32	UseParallelGC	0.6
helloworld	64	16	48	UseParallelGC	0.47
helloworld	64	16	64	UseParallelGC	0.25
helloworld	64	16	96	UseParallelGC	0.25
helloworld	64	16	128	UseParallelGC	0.33
helloworld	64	16	160	UseParallelGC	0.27
helloworld	64	16	192	UseParallelGC	0.33
helloworld	64	16	224	UseParallelGC	0.3
helloworld	64	16	256	UseParallelGC	0.35
helloworld	64	16	512	UseParallelGC	0.28
helloworld	64	32	16	UseParallelGC	0.79
helloworld	64	32	32	UseParallelGC	0.78
helloworld	64	32	48	UseParallelGC	0.58
helloworld	64	32	64	UseParallelGC	0.53
helloworld	64	32	96	UseParallelGC	0.81
helloworld	64	32	128	UseParallelGC	0.76
helloworld	64	32	160	UseParallelGC	0.39
helloworld	64	32	192	UseParallelGC	0.43
helloworld	64	32	224	UseParallelGC	0.42
helloworld	64	32	256	UseParallelGC	0.7
helloworld	64	32	512	UseParallelGC	0.48
helloworld	64	48	16	UseParallelGC	0.81
helloworld	64	48	32	UseParallelGC	0.58
helloworld	64	48	48	UseParallelGC	0.47
helloworld	64	48	64	UseParallelGC	0.43
helloworld	64	48	96	UseParallelGC	0.41
helloworld	64	48	128	UseParallelGC	0.63
helloworld	64	48	160	UseParallelGC	0.46
helloworld	64	48	192	UseParallelGC	0.66
helloworld	64	48	224	UseParallelGC	0.64
helloworld	64	48	256	UseParallelGC	0.51
helloworld	64	48	512	UseParallelGC	0.59
helloworld	64	64	16	UseParallelGC	0.81
helloworld	64	64	32	UseParallelGC	0.67
helloworld	64	64	48	UseParallelGC	0.42
helloworld	64	64	64	UseParallelGC	0.58
helloworld	64	64	96	UseParallelGC	0.45
helloworld	64	64	128	UseParallelGC	0.37
helloworld	64	64	160	UseParallelGC	0.62
helloworld	64	64	192	UseParallelGC	0.49
helloworld	64	64	224	UseParallelGC	0.46
helloworld	64	64	256	UseParallelGC	0.55
helloworld	64	64	512	UseParallelGC	0.71
helloworld	96	16	16	UseParallelGC	0.92
helloworld	96	16	32	UseParallelGC	0.84
helloworld	96	16	48	UseParallelGC	0.76
helloworld	96	16	64	UseParallelGC	0.71
helloworld	96	16	96	UseParallelGC	0.25
helloworld	96	16	128	UseParallelGC	0.28
helloworld	96	16	160	UseParallelGC	0.24
helloworld	96	16	192	UseParallelGC	0.26
helloworld	96	16	224	UseParallelGC	0.27
helloworld	96	16	256	UseParallelGC	0.25
helloworld	96	16	512	UseParallelGC	0.22
helloworld	96	32	16	UseParallelGC	1.11
helloworld	96	32	32	UseParallelGC	0.89
helloworld	96	32	48	UseParallelGC	0.7
helloworld	96	32	64	UseParallelGC	0.64
helloworld	96	32	96	UseParallelGC	0.3
helloworld	96	32	128	UseParallelGC	0.28
helloworld	96	32	160	UseParallelGC	0.47
helloworld	96	32	192	UseParallelGC	0.39
helloworld	96	32	224	UseParallelGC	0.29
helloworld	96	32	256	UseParallelGC	0.43
helloworld	96	32	512	UseParallelGC	0.73
helloworld	96	48	16	UseParallelGC	1.1
helloworld	96	48	32	UseParallelGC	0.78
helloworld	96	48	48	UseParallelGC	0.73
helloworld	96	48	64	UseParallelGC	1.03
helloworld	96	48	96	UseParallelGC	0.69
