benchmark	max_heap	init_heap	min_heap	gc_name	exec_time
scimark	16	16	16	UseParallelGC	0.13
scimark	16	16	32	UseParallelGC	0.18
scimark	16	16	48	UseParallelGC	0.11
scimark	16	16	64	UseParallelGC	0.18
scimark	16	16	96	UseParallelGC	0.15
scimark	16	16	128	UseParallelGC	0.22
scimark	16	16	160	UseParallelGC	0.16
scimark	16	16	192	UseParallelGC	0.18
scimark	16	16	224	UseParallelGC	0.18
scimark	16	16	256	UseParallelGC	0.14
scimark	16	16	512	UseParallelGC	0.18
scimark	32	16	16	UseParallelGC	0.12
scimark	32	16	32	UseParallelGC	0.14
scimark	32	16	48	UseParallelGC	0.17
scimark	32	16	64	UseParallelGC	0.14
scimark	32	16	96	UseParallelGC	0.15
scimark	32	16	128	UseParallelGC	0.18
scimark	32	16	160	UseParallelGC	0.14
scimark	32	16	192	UseParallelGC	0.13
scimark	32	16	224	UseParallelGC	0.15
scimark	32	16	256	UseParallelGC	0.2
scimark	32	16	512	UseParallelGC	0.16
scimark	32	32	16	UseParallelGC	0.19
scimark	32	32	32	UseParallelGC	0.15
scimark	32	32	48	UseParallelGC	0.14
scimark	32	32	64	UseParallelGC	0.14
scimark	32	32	96	UseParallelGC	0.2
scimark	32	32	128	UseParallelGC	0.14
scimark	32	32	160	UseParallelGC	0.1
scimark	32	32	192	UseParallelGC	0.1
scimark	32	32	224	UseParallelGC	0.15
scimark	32	32	256	UseParallelGC	0.15
scimark	32	32	512	UseParallelGC	0.12
scimark	48	16	16	UseParallelGC	0.11
scimark	48	16	32	UseParallelGC	0.12
scimark	48	16	48	UseParallelGC	0.12
scimark	48	16	64	UseParallelGC	0.21
scimark	48	16	96	UseParallelGC	0.13
scimark	48	16	128	UseParallelGC	0.14
scimark	48	16	160	UseParallelGC	0.13
scimark	48	16	192	UseParallelGC	0.13
scimark	48	16	224	UseParallelGC	0.12
scimark	48	16	256	UseParallelGC	0.14
scimark	48	16	512	UseParallelGC	0.12
scimark	48	32	16	UseParallelGC	0.1
scimark	48	32	32	UseParallelGC	0.16
scimark	48	32	48	UseParallelGC	0.16
scimark	48	32	64	UseParallelGC	0.15
scimark	48	32	96	UseParallelGC	0.18
scimark	48	32	128	UseParallelGC	0.16
scimark	48	32	160	UseParallelGC	0.58
scimark	48	32	192	UseParallelGC	0.18
scimark	48	32	224	UseParallelGC	0.18
scimark	48	32	256	UseParallelGC	0.12
scimark	48	32	512	UseParallelGC	1.31
scimark	48	48	16	UseParallelGC	0.12
scimark	48	48	32	UseParallelGC	0.16
scimark	48	48	48	UseParallelGC	0.16
scimark	48	48	64	UseParallelGC	0.11
scimark	48	48	96	UseParallelGC	0.1
scimark	48	48	128	UseParallelGC	0.11
scimark	48	48	160	UseParallelGC	0.13
scimark	48	48	192	UseParallelGC	0.13
scimark	48	48	224	UseParallelGC	0.16
scimark	48	48	256	UseParallelGC	1.78
scimark	48	48	512	UseParallelGC	0.09
scimark	64	16	16	UseParallelGC	0.14
scimark	64	16	32	UseParallelGC	0.09
scimark	64	16	48	UseParallelGC	0.14
scimark	64	16	64	UseParallelGC	0.12
scimark	64	16	96	UseParallelGC	0.2
scimark	64	16	128	UseParallelGC	0.23
